GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",1436,214,833,192,833,192,484,129,349,122,0,11,603,141
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",811,142,445,89,445,89,324,75,121,62,0,11,366,91
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",1190,180,615,142,615,142,416,128,199,101,0,11,575,104
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",976,204,542,176,542,176,408,130,134,68,0,11,434,111
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",446,71,208,68,208,68,192,63,16,19,0,11,238,87
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",3902,439,2859,444,2859,444,2761,440,98,61,0,11,1043,210
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",1222,156,809,132,809,132,619,123,190,83,0,11,413,92
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",1486,291,762,165,762,165,539,139,223,69,0,11,724,224
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",3952,324,2720,326,2720,326,2492,334,228,114,0,11,1232,229
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",2001,161,1452,150,1452,150,1346,135,106,48,0,11,549,128
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",3734,380,3006,333,3006,333,2725,357,281,146,0,11,728,204
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",3320,235,2466,261,2466,261,2368,243,98,71,0,11,854,195
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",4057,283,3259,307,3259,307,3135,327,124,79,0,11,798,159
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",4476,295,3524,274,3524,274,3435,287,89,65,0,15,952,178
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",3459,366,2051,321,2051,321,1874,322,177,72,0,11,1408,213
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",2493,180,1713,200,1713,200,1559,188,154,80,0,11,780,152
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",4053,390,2800,338,2800,338,2569,326,231,110,0,15,1253,225
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",2568,305,1799,269,1799,269,1547,271,252,125,0,11,769,188
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",5704,637,3331,588,3331,588,2738,483,593,396,0,15,2373,509
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",3709,383,1700,323,1700,323,1516,325,184,121,0,11,2009,311
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",2669,266,1673,262,1673,262,1423,231,250,122,0,11,996,217
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",2755,313,2035,308,2035,308,1758,279,277,121,0,11,720,164
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",3580,292,2806,299,2806,299,2618,303,188,139,0,11,774,160
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",2857,244,2168,244,2168,244,2020,249,148,84,0,11,689,163
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",2134,288,1319,213,1319,213,1077,191,242,131,0,11,815,188
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",3800,508,2440,379,2440,379,1817,378,623,188,0,11,1360,383
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",3671,419,2724,352,2724,352,2345,358,379,140,0,11,947,230
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",1336,128,1115,121,1115,121,1100,121,15,13,0,11,221,64
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",4552,402,3334,291,3334,291,3157,294,177,121,0,15,1218,271
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",3571,341,2419,266,2419,266,2229,241,190,101,0,11,1152,232
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",959,154,699,144,699,144,649,134,50,30,0,11,260,79
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",1557,317,484,187,484,187,439,159,45,39,0,11,1073,204
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",3453,364,1749,251,1749,251,1573,251,176,78,0,11,1704,245
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",2475,211,1311,168,1298,164,1176,152,122,86,13,20,1164,243
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",3139,309,1868,258,1868,258,1784,256,84,52,0,11,1271,234
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",1578,215,975,150,975,150,877,142,98,57,0,11,603,139
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",4096,506,1711,306,1711,306,1531,283,180,83,0,11,2385,320
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",1023,166,553,140,553,140,400,113,153,84,0,11,470,107
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",1567,208,745,130,745,130,646,131,99,53,0,11,822,146
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",1454,173,787,149,787,149,593,127,194,64,0,11,667,119
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",2776,276,2014,238,2014,238,1843,218,171,91,0,11,762,163
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",1926,162,1436,144,1436,144,1368,138,68,71,0,11,490,99
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",2476,192,2104,178,2097,179,1996,185,101,64,7,10,372,96
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",3553,405,2172,357,2172,357,1902,309,270,130,0,15,1381,304
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",2375,382,1704,359,1704,359,1496,355,208,89,0,11,671,153
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",2640,219,1827,214,1820,214,1667,217,153,76,7,10,813,154
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",1393,139,809,120,809,120,586,96,223,78,0,11,584,117
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",2745,294,2260,251,2234,252,2188,260,46,47,26,32,485,191
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",3974,422,2875,370,2831,369,2596,391,235,147,44,42,1099,212
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",2394,302,1278,292,1278,292,942,257,336,138,0,11,1116,230
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",2388,316,1250,228,1250,228,1031,169,219,123,0,11,1138,219
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",966,175,471,127,471,127,368,113,103,50,0,11,495,106
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",3046,184,2250,213,2250,213,2184,210,66,37,0,11,796,124
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",3590,332,1858,248,1858,248,1129,196,729,191,0,11,1732,268
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",1849,213,648,151,648,151,492,123,156,82,0,11,1201,190
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",1601,206,753,134,753,134,561,125,192,69,0,11,848,155
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",3824,479,2614,437,2614,437,2529,444,85,47,0,11,1210,255
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",2905,301,1897,281,1897,281,1663,211,234,143,0,11,1008,158
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",3791,316,2382,369,2382,369,1918,377,464,214,0,15,1409,265
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",1977,197,1379,178,1379,178,1124,162,255,101,0,11,598,125
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",2913,267,2415,287,2411,287,2318,279,93,52,4,7,498,140
