GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",2231,164
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",4334,424
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",4002,264
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",4724,391
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",5300,386
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",4226,444
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",3348,379
1400000US29510115300,29510115300,"Census Tract 1153, St. Louis city, Missouri",5248,538
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",3185,390
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",7069,832
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",4815,585
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",3789,537
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",3231,409
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",4267,365
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",3608,418
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",2477,318
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",4913,616
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",4481,535
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",1469,163
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",5566,606
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",4307,447
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",1161,192
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",1557,317
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",3822,414
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",2587,275
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",3237,309
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",1746,233
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",4319,501
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",1370,232
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",1779,280
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",2508,331
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",3650,454
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",2210,198
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",2920,251
