GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US29510101100,29510101100,"Census Tract 1011, St. Louis city, Missouri",27028,2905
1400000US29510101200,29510101200,"Census Tract 1012, St. Louis city, Missouri",26414,2601
1400000US29510101300,29510101300,"Census Tract 1013, St. Louis city, Missouri",34238,5480
1400000US29510101400,29510101400,"Census Tract 1014, St. Louis city, Missouri",22274,2883
1400000US29510101500,29510101500,"Census Tract 1015, St. Louis city, Missouri",15147,2331
1400000US29510101800,29510101800,"Census Tract 1018, St. Louis city, Missouri",17390,2639
1400000US29510102100,29510102100,"Census Tract 1021, St. Louis city, Missouri",29172,2620
1400000US29510102200,29510102200,"Census Tract 1022, St. Louis city, Missouri",38750,4188
1400000US29510102300,29510102300,"Census Tract 1023, St. Louis city, Missouri",25485,3228
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",20170,2113
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",23800,2358
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",36122,4259
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",31319,1904
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",29011,8334
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",32240,3697
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",32046,3002
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",37555,3907
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",42177,7627
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",44009,6172
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",35057,4470
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",18410,2632
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",12782,1797
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",18294,4127
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",13357,2798
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",8548,2593
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",13237,1940
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",15434,3105
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",18975,5584
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",10938,1978
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",15596,4960
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",13225,2982
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",14361,1821
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",9816,1553
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",16067,3425
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",14930,2037
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",16680,2638
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",18075,3093
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",19090,3223
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",16719,2823
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",10621,1812
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",13642,2077
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",14837,3088
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",13880,2031
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",15109,2944
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",14652,2564
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",14987,2845
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",10759,3035
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",14667,2236
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",11627,3337
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",9857,2768
