GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",14,16,14,16,0,11,0,11,0,11,7,10,0,11,0,11,7,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",1,3,1,3,0,11,0,11,0,11,1,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,6,10,0,11,0,11,0,11
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",72,71,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,72,71,0,11,0,11,0,11,50,69,15,17,7,11,0,11
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",22,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,22,33,0,11,0,11,0,11,0,11,11,16,11,17,0,11
1400000US29510107500,29510107500,"Census Tract 1075, St. Louis city, Missouri",29,35,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,29,35,0,11,0,11,7,11,0,11,8,12,14,23,0,11
1400000US29510107600,29510107600,"Census Tract 1076, St. Louis city, Missouri",42,55,7,5,0,11,0,11,0,11,6,5,0,11,1,4,0,11,35,54,0,11,0,11,0,11,28,44,7,10,0,11,0,11
1400000US29510108100,29510108100,"Census Tract 1081, St. Louis city, Missouri",107,111,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,107,111,0,11,0,11,0,11,69,75,0,11,31,35,7,11
1400000US29510108200,29510108200,"Census Tract 1082, St. Louis city, Missouri",39,46,7,12,0,11,0,11,0,11,0,11,7,12,0,11,0,11,32,45,0,11,0,11,0,11,17,20,15,26,0,11,0,11
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",115,93,24,24,0,11,0,11,0,11,15,16,9,10,0,11,0,11,91,90,13,20,0,11,0,11,39,54,27,22,6,8,6,9
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",45,40,3,7,0,11,0,11,0,11,3,7,0,11,0,11,0,11,42,40,0,11,0,11,0,11,34,39,8,12,0,11,0,11
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",249,175,195,152,36,36,19,25,0,11,126,97,5,8,0,11,9,20,54,34,0,11,0,11,0,11,34,29,10,12,10,12,0,11
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",27,41,1,4,0,11,0,11,0,11,1,4,0,11,0,11,0,11,26,41,9,15,0,11,0,11,17,26,0,11,0,11,0,11
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,6,10,0,11,0,11,0,11
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",31,37,23,34,0,11,0,11,0,11,23,34,0,11,0,11,0,11,8,12,0,11,0,11,0,11,8,12,0,11,0,11,0,11
