GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
1400000US29510108300,29510108300,"Census Tract 1083, St. Louis city, Missouri",1077,47,0,11,0,11,0,11,39,35,15,24,56,39,152,67,235,81,292,79,288,76
1400000US29510109600,29510109600,"Census Tract 1096, St. Louis city, Missouri",1647,93,0,11,0,11,75,57,50,44,23,38,24,21,58,49,175,103,289,132,953,160
1400000US29510109700,29510109700,"Census Tract 1097, St. Louis city, Missouri",1509,82,0,11,0,11,63,47,0,11,58,37,40,30,167,81,196,79,368,94,617,115
1400000US29510110100,29510110100,"Census Tract 1101, St. Louis city, Missouri",1637,87,0,11,0,11,147,81,39,45,17,19,31,30,115,75,124,82,238,79,926,147
1400000US29510110200,29510110200,"Census Tract 1102, St. Louis city, Missouri",1451,75,0,11,0,11,127,76,84,55,7,11,42,45,154,65,118,65,157,89,762,109
1400000US29510110300,29510110300,"Census Tract 1103, St. Louis city, Missouri",1487,87,0,11,0,11,38,43,0,11,16,26,99,78,81,59,281,104,252,104,720,122
1400000US29510110400,29510110400,"Census Tract 1104, St. Louis city, Missouri",1427,42,0,11,0,11,0,11,0,11,0,11,0,11,0,11,198,103,261,117,968,130
1400000US29510110500,29510110500,"Census Tract 1105, St. Louis city, Missouri",904,42,0,11,0,11,111,39,7,8,0,11,43,29,39,25,162,56,158,48,384,63
1400000US29510111100,29510111100,"Census Tract 1111, St. Louis city, Missouri",928,44,0,11,67,38,115,53,0,11,88,49,89,48,0,11,47,36,29,28,493,86
1400000US29510111200,29510111200,"Census Tract 1112, St. Louis city, Missouri",621,94,0,11,0,11,38,35,33,29,20,27,39,34,0,11,77,50,18,16,396,95
1400000US29510111300,29510111300,"Census Tract 1113, St. Louis city, Missouri",1179,62,0,11,5,7,65,34,126,57,41,35,33,29,72,59,28,23,119,59,690,113
1400000US29510111400,29510111400,"Census Tract 1114, St. Louis city, Missouri",810,76,0,11,0,11,179,63,26,28,4,7,14,14,43,33,30,19,90,50,424,96
1400000US29510111500,29510111500,"Census Tract 1115, St. Louis city, Missouri",484,31,0,11,0,11,41,29,42,27,11,16,40,49,0,11,85,49,52,42,213,55
1400000US29510112100,29510112100,"Census Tract 1121, St. Louis city, Missouri",2810,119,0,11,0,11,27,41,38,37,62,45,112,82,64,54,184,103,158,114,2165,200
1400000US29510112200,29510112200,"Census Tract 1122, St. Louis city, Missouri",970,26,0,11,0,11,65,31,0,11,12,15,5,8,84,37,180,54,73,41,551,67
1400000US29510112300,29510112300,"Census Tract 1123, St. Louis city, Missouri",1244,77,0,11,0,11,37,22,40,23,16,18,60,37,61,36,115,47,101,51,814,96
1400000US29510112400,29510112400,"Census Tract 1124, St. Louis city, Missouri",2613,115,0,11,12,19,115,41,152,104,124,86,202,96,140,74,240,85,31,35,1597,163
1400000US29510113500,29510113500,"Census Tract 1135, St. Louis city, Missouri",1363,58,0,11,0,11,33,23,77,49,16,18,30,24,43,31,188,60,96,48,880,111
1400000US29510114101,29510114101,"Census Tract 1141.01, St. Louis city, Missouri",2593,57,0,11,0,11,63,75,17,25,0,11,168,90,125,121,709,236,478,185,1033,202
1400000US29510114102,29510114102,"Census Tract 1141.02, St. Louis city, Missouri",2246,72,0,11,0,11,35,41,13,21,12,19,46,38,95,67,537,184,511,163,997,182
1400000US29510114200,29510114200,"Census Tract 1142, St. Louis city, Missouri",2630,65,0,11,0,11,0,11,12,20,0,11,23,35,150,102,906,185,604,166,935,225
1400000US29510114300,29510114300,"Census Tract 1143, St. Louis city, Missouri",2767,73,0,15,0,15,28,40,0,15,45,43,30,37,47,44,271,117,280,119,2066,157
1400000US29510115100,29510115100,"Census Tract 1151, St. Louis city, Missouri",1970,69,0,11,0,11,0,11,11,14,112,65,167,82,237,100,158,64,142,68,1143,127
1400000US29510115200,29510115200,"Census Tract 1152, St. Louis city, Missouri",1714,55,0,11,0,11,22,36,10,15,91,46,106,59,255,90,287,95,139,58,804,122
