GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",969,184,91,74,878,186
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",562,138,141,74,421,139
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",346,94,189,72,157,70
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",412,144,73,62,339,157
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",252,116,40,29,212,119
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",551,136,121,67,430,139
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",1000,130,282,115,718,157
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",820,148,168,80,652,144
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",174,59,29,15,145,58
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",962,185,456,146,506,184
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",570,142,149,64,421,133
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",285,55,58,27,227,56
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",281,57,0,11,281,57
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",522,116,140,79,382,116
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",664,122,89,40,575,135
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",207,62,83,33,124,61
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",506,80,239,61,267,59
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",616,110,12,17,604,109
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",392,63,130,43,262,61
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",830,84,7,10,823,84
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",924,92,63,39,861,102
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",988,125,438,101,550,125
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",409,90,23,23,386,88
