GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",2106,188,598,180,1508,223
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",1364,114,415,102,949,141
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",1537,148,841,98,696,153
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",2107,166,1084,170,1023,198
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",1423,91,754,99,669,125
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",1256,132,286,82,970,141
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",1864,170,640,154,1224,183
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",1914,136,704,126,1210,162
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",952,67,174,35,778,66
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",2527,180,1304,192,1223,208
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",1958,153,928,103,1030,159
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",530,64,189,47,341,64
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",421,65,12,12,409,66
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",1382,124,394,95,988,145
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",1712,114,432,77,1280,127
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",1705,122,515,87,1190,126
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",870,77,427,62,443,68
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",1361,123,12,17,1349,122
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",432,61,137,45,295,60
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",939,87,23,20,916,88
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",953,88,68,40,885,99
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",1453,116,761,122,692,137
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",1277,105,500,90,777,120
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",1448,105,633,91,815,111
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",1746,160,571,93,1175,166
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",1224,146,469,125,755,132
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",1455,131,866,117,589,125
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",719,62,184,41,535,59
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",1970,220,458,121,1512,200
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",2615,214,202,133,2413,218
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",1451,127,76,52,1375,130
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",1124,114,264,79,860,122
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",510,63,225,54,285,69
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",1722,84,1122,120,600,114
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",1717,137,1090,134,627,148
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",629,86,195,59,434,97
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",848,88,236,59,612,90
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",2184,134,975,136,1209,176
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",1652,114,599,103,1053,130
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",2163,127,699,131,1464,168
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",1316,97,172,57,1144,101
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",1912,120,530,114,1382,145
