GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",447,59,22,16,16,13,8,10,0,11,8,10,0,11,8,9,6,9,0,11,0,11,0,11,0,11,0,11,0,11,6,9,0,11,0,11,0,11,0,11,6,9,425,63,335,62,121,42,43,33,12,13,66,29,214,49,90,42,12,12,12,12,0,11,0,11,12,12,0,11,78,37,43,31,21,32,0,11,22,16,35,20
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",327,54,25,19,8,9,8,9,8,9,0,11,0,11,0,11,17,21,13,21,13,21,0,11,13,21,0,11,0,11,4,7,0,11,0,11,0,11,0,11,4,7,302,53,194,45,116,39,47,29,17,19,52,27,78,30,108,50,46,30,25,26,0,11,0,11,25,26,21,20,62,43,40,34,11,18,0,11,29,28,22,27
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",558,96,23,27,17,26,0,11,0,11,0,11,0,11,17,26,6,10,6,10,6,10,0,11,0,11,6,10,0,11,0,11,0,11,0,11,0,11,0,11,0,11,535,102,461,100,182,76,64,50,85,76,33,34,279,72,74,38,21,25,21,25,0,11,0,11,21,25,0,11,53,36,15,24,0,11,0,11,15,24,38,27
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",1014,119,39,28,23,18,0,11,0,11,0,11,0,11,23,18,16,21,0,11,0,11,0,11,0,11,0,11,0,11,16,21,16,21,16,21,0,11,0,11,0,11,975,121,728,103,211,57,57,34,27,25,127,53,517,90,247,103,54,37,12,18,0,11,0,11,12,18,42,31,193,93,144,80,64,49,0,11,80,58,49,37
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",636,117,24,23,14,19,14,19,0,11,14,19,0,11,0,11,10,16,0,11,0,11,0,11,0,11,0,11,0,11,10,16,10,16,0,11,0,11,10,16,0,11,612,119,443,84,153,55,104,51,0,11,49,30,290,67,169,86,64,63,30,40,24,39,0,11,6,11,34,45,105,61,32,27,12,17,0,11,20,21,73,54
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",334,80,12,15,3,9,0,11,0,11,0,11,0,11,3,9,9,13,0,11,0,11,0,11,0,11,0,11,0,11,9,13,9,13,0,11,0,11,9,13,0,11,322,77,203,61,59,37,36,28,10,16,13,19,144,53,119,54,32,24,7,11,0,11,7,11,0,11,25,21,87,49,17,20,0,11,0,11,17,20,70,44
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",603,97,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,603,97,533,93,173,43,55,28,28,20,90,41,360,84,70,50,14,12,6,10,6,10,0,11,0,11,8,12,56,47,39,42,8,12,0,11,31,39,17,21
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",600,106,25,24,5,8,0,11,0,11,0,11,0,11,5,8,20,22,0,11,0,11,0,11,0,11,0,11,0,11,20,22,20,22,0,11,0,11,20,22,0,11,575,107,392,105,115,53,16,19,22,22,77,48,277,96,183,72,23,21,12,14,12,14,0,11,0,11,11,16,160,74,86,62,32,42,7,13,47,47,74,39
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",487,97,99,56,10,15,10,15,0,11,0,11,10,15,0,11,89,55,18,31,18,31,18,31,0,11,0,11,0,11,71,53,62,51,46,45,0,11,16,25,9,15,388,98,209,53,86,40,5,10,25,20,56,34,123,51,179,90,16,21,0,11,0,11,0,11,0,11,16,21,163,86,56,48,35,41,4,7,17,22,107,71
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",464,75,137,47,13,13,7,10,0,11,7,10,0,11,6,9,124,47,0,11,0,11,0,11,0,11,0,11,0,11,124,47,118,46,24,27,19,23,75,37,6,9,327,66,110,45,56,33,4,7,28,25,24,21,54,29,217,63,34,31,21,34,0,11,0,11,21,34,13,13,183,53,130,51,22,26,23,21,85,41,53,37
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",637,124,149,57,0,11,0,11,0,11,0,11,0,11,0,11,149,57,0,11,0,11,0,11,0,11,0,11,0,11,149,57,112,56,0,11,0,11,112,56,37,29,488,130,200,100,94,70,0,11,36,36,58,65,106,71,288,86,117,62,11,18,0,11,0,11,11,18,106,64,171,78,61,62,0,11,0,11,61,62,110,56
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",367,71,144,58,33,35,16,22,0,11,0,11,16,22,17,27,111,44,5,10,0,11,0,11,0,11,0,11,5,10,106,43,79,36,32,25,13,13,34,25,27,19,223,58,46,23,4,8,0,11,0,11,4,8,42,22,177,54,70,37,18,21,6,9,12,19,0,11,52,34,107,46,47,31,0,11,3,6,44,30,60,41
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",381,71,220,76,0,11,0,11,0,11,0,11,0,11,0,11,220,76,48,50,36,47,0,11,0,11,36,47,12,18,172,66,166,67,58,50,84,53,24,21,6,8,161,65,90,51,48,42,11,19,0,11,37,43,42,31,71,38,9,10,5,8,0,11,0,11,5,8,4,7,62,36,23,25,13,20,0,11,10,14,39,25
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",299,61,69,42,10,12,0,11,0,11,0,11,0,11,10,12,59,42,6,9,6,9,0,11,6,9,0,11,0,11,53,42,53,42,21,30,15,24,17,19,0,11,230,68,98,46,46,37,0,11,0,11,46,37,52,29,132,60,19,14,7,12,0,11,7,12,0,11,12,9,113,59,69,51,15,24,5,10,49,45,44,27
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",525,83,152,80,12,18,0,11,0,11,0,11,0,11,12,18,140,80,51,53,51,53,0,11,0,11,51,53,0,11,89,51,67,48,0,11,0,11,67,48,22,29,373,93,120,53,26,20,0,11,0,11,26,20,94,50,253,82,19,22,0,11,0,11,0,11,0,11,19,22,234,78,118,68,0,11,22,36,96,56,116,58
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",569,122,90,51,19,19,19,19,0,11,0,11,19,19,0,11,71,48,7,12,0,11,0,11,0,11,0,11,7,12,64,46,51,43,16,18,22,35,13,21,13,15,479,130,150,67,52,42,15,23,0,11,37,36,98,50,329,123,57,44,32,37,0,11,0,11,32,37,25,24,272,120,151,92,56,64,15,24,80,66,121,64
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",333,78,155,60,41,29,19,24,13,22,6,9,0,11,22,19,114,57,38,40,32,37,17,28,0,11,15,25,6,9,76,39,72,38,0,11,14,22,58,31,4,7,178,50,51,27,11,12,0,11,0,11,11,12,40,23,127,43,21,22,18,21,0,11,0,11,18,21,3,7,106,39,43,31,0,11,5,8,38,31,63,35
1400000US29510106700,29510106700,"Census Tract 1067, St. Louis city, Missouri",617,122,197,87,38,41,7,12,0,11,0,11,7,12,31,39,159,83,24,38,24,38,0,11,0,11,24,38,0,11,135,74,118,72,0,11,31,49,87,65,17,23,420,114,82,49,23,37,23,37,0,11,0,11,59,37,338,108,87,56,37,47,0,11,0,11,37,47,50,39,251,102,99,56,25,39,23,35,51,38,152,83
1400000US29510107200,29510107200,"Census Tract 1072, St. Louis city, Missouri",271,58,88,55,14,17,0,11,0,11,0,11,0,11,14,17,74,51,32,40,22,35,0,11,0,11,22,35,10,16,42,30,42,30,0,11,8,13,34,26,0,11,183,56,81,45,25,22,0,11,0,11,25,22,56,43,102,47,4,7,0,11,0,11,0,11,0,11,4,7,98,47,47,33,9,11,5,9,33,31,51,31
1400000US29510107300,29510107300,"Census Tract 1073, St. Louis city, Missouri",1082,138,265,98,100,61,66,61,24,39,33,43,9,15,34,27,165,81,28,36,28,36,20,34,0,11,8,13,0,11,137,71,73,55,0,11,9,14,64,53,64,47,817,122,279,82,39,28,8,12,7,10,24,22,240,75,538,128,110,61,53,52,0,11,0,11,53,52,57,45,428,115,160,78,29,35,29,43,102,54,268,94
1400000US29510107400,29510107400,"Census Tract 1074, St. Louis city, Missouri",623,90,263,75,62,42,56,42,0,11,24,24,32,36,6,9,201,67,29,36,24,35,0,11,0,11,24,35,5,7,172,60,136,53,7,11,47,37,82,48,36,28,360,75,158,60,76,54,20,31,0,11,56,43,82,29,202,71,5,7,0,11,0,11,0,11,0,11,5,7,197,72,94,60,0,11,19,29,75,52,103,47
