GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
1400000US29510115400,29510115400,"Census Tract 1154, St. Louis city, Missouri",809,124,586,95,223,91
1400000US29510115500,29510115500,"Census Tract 1155, St. Louis city, Missouri",1385,196,703,169,682,187
1400000US29510115600,29510115600,"Census Tract 1156, St. Louis city, Missouri",1025,191,462,159,563,139
1400000US29510115700,29510115700,"Census Tract 1157, St. Louis city, Missouri",718,125,250,73,468,110
1400000US29510116100,29510116100,"Census Tract 1161, St. Louis city, Missouri",963,123,515,75,448,132
1400000US29510116200,29510116200,"Census Tract 1162, St. Louis city, Missouri",1584,177,923,142,661,173
1400000US29510116301,29510116301,"Census Tract 1163.01, St. Louis city, Missouri",1038,106,689,94,349,98
1400000US29510116302,29510116302,"Census Tract 1163.02, St. Louis city, Missouri",492,157,119,68,373,153
1400000US29510116400,29510116400,"Census Tract 1164, St. Louis city, Missouri",683,125,276,88,407,101
1400000US29510116500,29510116500,"Census Tract 1165, St. Louis city, Missouri",932,151,477,93,455,119
1400000US29510117100,29510117100,"Census Tract 1171, St. Louis city, Missouri",714,82,145,31,569,78
1400000US29510117200,29510117200,"Census Tract 1172, St. Louis city, Missouri",1523,177,844,154,679,175
1400000US29510117400,29510117400,"Census Tract 1174, St. Louis city, Missouri",1245,118,751,91,494,119
1400000US29510118100,29510118100,"Census Tract 1181, St. Louis city, Missouri",237,51,129,40,108,41
1400000US29510118400,29510118400,"Census Tract 1184, St. Louis city, Missouri",131,47,6,9,125,45
1400000US29510118600,29510118600,"Census Tract 1186, St. Louis city, Missouri",705,114,254,62,451,114
1400000US29510119101,29510119101,"Census Tract 1191.01, St. Louis city, Missouri",791,111,310,74,481,107
1400000US29510119102,29510119102,"Census Tract 1191.02, St. Louis city, Missouri",1165,144,358,83,807,120
1400000US29510119200,29510119200,"Census Tract 1192, St. Louis city, Missouri",327,94,174,69,153,49
1400000US29510119300,29510119300,"Census Tract 1193, St. Louis city, Missouri",533,104,0,11,533,104
1400000US29510120200,29510120200,"Census Tract 1202, St. Louis city, Missouri",26,25,0,11,26,25
1400000US29510121100,29510121100,"Census Tract 1211, St. Louis city, Missouri",78,27,16,18,62,25
1400000US29510121200,29510121200,"Census Tract 1212, St. Louis city, Missouri",17,21,0,11,17,21
1400000US29510123100,29510123100,"Census Tract 1231, St. Louis city, Missouri",444,79,302,74,142,68
1400000US29510123200,29510123200,"Census Tract 1232, St. Louis city, Missouri",839,92,470,89,369,93
1400000US29510123300,29510123300,"Census Tract 1233, St. Louis city, Missouri",1033,107,539,79,494,93
1400000US29510124100,29510124100,"Census Tract 1241, St. Louis city, Missouri",564,113,289,78,275,105
1400000US29510124200,29510124200,"Census Tract 1242, St. Louis city, Missouri",440,93,302,85,138,67
1400000US29510124300,29510124300,"Census Tract 1243, St. Louis city, Missouri",1181,123,777,108,404,100
1400000US29510124600,29510124600,"Census Tract 1246, St. Louis city, Missouri",270,49,115,31,155,44
1400000US29510125500,29510125500,"Census Tract 1255, St. Louis city, Missouri",1190,143,381,121,809,147
1400000US29510125600,29510125600,"Census Tract 1256, St. Louis city, Missouri",1406,214,150,106,1256,196
1400000US29510125700,29510125700,"Census Tract 1257, St. Louis city, Missouri",29,34,6,10,23,33
1400000US29510126600,29510126600,"Census Tract 1266, St. Louis city, Missouri",150,61,80,32,70,50
1400000US29510126700,29510126700,"Census Tract 1267, St. Louis city, Missouri",199,56,135,41,64,43
1400000US29510126800,29510126800,"Census Tract 1268, St. Louis city, Missouri",1536,96,1016,128,520,111
1400000US29510126900,29510126900,"Census Tract 1269, St. Louis city, Missouri",31,47,0,11,31,47
1400000US29510127000,29510127000,"Census Tract 1270, St. Louis city, Missouri",110,39,95,38,15,15
1400000US29510127100,29510127100,"Census Tract 1271, St. Louis city, Missouri",25,24,0,11,25,24
1400000US29510127200,29510127200,"Census Tract 1272, St. Louis city, Missouri",1691,179,901,138,790,197
1400000US29510127300,29510127300,"Census Tract 1273, St. Louis city, Missouri",595,107,250,52,345,100
1400000US29510127400,29510127400,"Census Tract 1274, St. Louis city, Missouri",747,147,494,111,253,120
1400000US29510127500,29510127500,"Census Tract 1275, St. Louis city, Missouri",332,73,121,51,211,68
1400000US29510127600,29510127600,"Census Tract 1276, St. Louis city, Missouri",1508,152,488,106,1020,148
